"ttt","cw_diff","mass_diff","cw_percent","mass_percent","time_to_molt"
"A",12.1615384615385,45.6153846153846,25.1594921103016,82.6339501840556,44.9230769230769
"B",15.0238095238095,65.0047619047619,29.3018181320315,91.1467056947085,40.3333333333333
NA,NA,NA,NA,NA,NA
