crabID,ttt,any_flag,any_date
901,C,FALSE,TRUE
902,B,FALSE,TRUE
903,B,FALSE,TRUE
904,A,FALSE,TRUE
907,C,FALSE,TRUE
908,C,FALSE,TRUE
909,B,FALSE,TRUE
910,B,FALSE,TRUE
911,B,FALSE,TRUE
912,C,FALSE,TRUE
913,B,FALSE,TRUE
914,C,FALSE,TRUE
915,A,FALSE,TRUE
917,B,FALSE,TRUE
919,B,FALSE,TRUE
920,A,FALSE,TRUE
921,B,FALSE,TRUE
923,A,FALSE,TRUE
924,B,FALSE,TRUE
925,A,FALSE,TRUE
927,C,FALSE,TRUE
928,C,FALSE,TRUE
930,A,FALSE,TRUE
931,C,FALSE,TRUE
933,A,FALSE,TRUE
934,C,FALSE,TRUE
936,C,FALSE,TRUE
937,A,FALSE,TRUE
938,B,FALSE,TRUE
940,A,FALSE,TRUE
943,C,FALSE,TRUE
944,B,FALSE,TRUE
945,C,FALSE,TRUE
948,C,FALSE,TRUE
949,B,FALSE,TRUE
