method,ttt,n,molters,prop
date,A,13,13,1
flag,A,13,13,1
flag_or_date,A,13,13,1
date,B,21,18,0.8571428571428571
flag,B,21,18,0.8571428571428571
flag_or_date,B,21,18,0.8571428571428571
