crabID,ttt,any_flag,any_date
403,B,FALSE,TRUE
407,A,FALSE,TRUE
412,B,FALSE,TRUE
413,A,FALSE,TRUE
416,A,FALSE,TRUE
417,C,FALSE,TRUE
422,C,FALSE,TRUE
501,B,FALSE,TRUE
503,C,FALSE,TRUE
602,A,FALSE,TRUE
603,C,FALSE,TRUE
607,A,FALSE,TRUE
609,B,FALSE,TRUE
611,A,FALSE,TRUE
614,B,FALSE,TRUE
620,A,FALSE,TRUE
623,A,FALSE,TRUE
624,B,FALSE,TRUE
625,A,FALSE,TRUE
626,A,FALSE,TRUE
627,B,FALSE,TRUE
628,C,FALSE,TRUE
629,B,FALSE,TRUE
631,B,FALSE,TRUE
633,A,FALSE,TRUE
634,C,FALSE,TRUE
635,C,FALSE,TRUE
702,A,FALSE,TRUE
703,A,FALSE,TRUE
704,A,FALSE,TRUE
706,B,FALSE,TRUE
707,C,FALSE,TRUE
709,C,FALSE,TRUE
710,C,FALSE,TRUE
711,B,FALSE,TRUE
713,B,FALSE,TRUE
714,B,FALSE,TRUE
716,A,FALSE,TRUE
719,C,FALSE,TRUE
801,B,FALSE,TRUE
802,C,FALSE,TRUE
808,C,FALSE,TRUE
