method,ttt,n,molters,prop
date,A,19,17,0.8947368421052632
flag,A,19,0,0
flag_or_date,A,19,17,0.8947368421052632
date,B,15,14,0.9333333333333333
flag,B,15,0,0
flag_or_date,B,15,14,0.9333333333333333
date,C,13,13,1
flag,C,13,0,0
flag_or_date,C,13,13,1
