ttt,crabID,sex,molt
A,401,F,0
C,402,M,0
B,403,F,1
A,404,M,0
C,405,F,0
B,406,F,0
A,407,F,1
B,408,F,0
B,409,F,0
C,411,F,0
B,412,M,1
A,413,F,1
C,414,F,0
A,416,F,1
C,417,F,1
C,418,F,0
C,422,F,1
C,423,F,0
B,501,M,1
A,602,M,1
C,603,M,1
C,604,M,0
B,605,M,0
A,606,M,0
A,607,M,1
C,608,M,0
B,609,M,1
C,502,M,0
A,611,M,1
B,612,M,0
A,613,M,0
B,614,M,1
A,615,M,0
B,616,M,0
C,617,M,0
C,503,M,1
B,618,M,0
C,619,M,0
A,620,M,1
C,622,M,0
A,623,M,1
B,624,M,1
A,625,M,1
A,626,M,1
B,627,M,1
C,628,M,1
B,629,M,1
C,630,M,0
B,631,M,1
C,632,M,0
A,633,M,1
C,634,M,1
C,635,M,1
A,702,M,1
A,703,M,1
A,704,M,1
B,706,M,1
C,707,M,1
C,708,M,0
C,709,M,1
C,710,M,1
B,711,M,1
A,712,M,0
B,713,M,1
B,714,M,1
A,715,M,1
A,716,M,1
A,717,M,0
B,718,M,1
C,719,M,1
B,801,M,1
C,802,M,1
A,804,M,0
C,805,M,0
A,807,M,0
C,808,M,1
A,602,M,1
C,603,M,1
A,607,M,1
A,611,M,1
A,623,M,1
A,703,M,1
C,709,M,1
A,716,M,1
