ttt,crabID,sex,molt
C,901,F,1
B,902,F,1
B,903,M,1
A,904,F,1
C,907,F,1
C,908,M,1
B,909,M,1
B,910,M,1
B,911,M,1
C,912,M,0
B,913,M,1
C,914,M,1
A,915,M,1
A,916,M,0
B,917,M,0
B,919,M,1
A,920,M,1
B,921,M,1
A,923,M,1
B,924,M,1
A,925,M,0
C,927,M,0
C,928,M,0
A,930,M,1
C,931,M,1
A,933,M,1
C,934,M,1
C,936,M,1
A,937,M,1
B,938,M,1
A,939,M,0
A,940,M,1
A,941,M,0
A,942,M,0
C,943,M,1
B,944,M,1
C,945,M,1
C,948,M,1
B,949,M,1
,,,
A,930,M,1
