ttt,crabID,sex,cw_start,cw_end,mass_start,mass_end,cw_diff,mass_diff,cw_percent,mass_percent
B,902,F,53,72,73.4,143.4,19,70,35.8490566,95.36784741
B,903,M,45,61,50.5,91,16,40.5,35.55555556,80.1980198
A,904,F,50,65,58.4,110.5,15,52.1,30,89.21232877
C,907,F,51,65,50.8,89.3,14,38.5,27.45098039,75.78740157
C,908,M,50,67,58.8,119.6,17,60.8,34,103.4013605
B,909,M,47,58,47.9,72.8,11,24.9,23.40425532,51.98329854
B,910,M,53,68,72.9,140.1,15,67.2,28.30188679,92.18106996
B,911,M,48,60,54.4,94.2,12,39.8,25,73.16176471
C,912,M,53,71,70,143.9,18,73.9,33.96226415,105.5714286
B,913,M,50,64,55,114.4,14,59.4,28,108
C,914,M,47,64,53.1,105.9,17,52.8,36.17021277,99.43502825
A,915,M,63,81,NA,214.1,18,na,28.57142857,na
B,917,M,54,73,68.4,141.6,19,73.2,35.18518519,107.0175439
B,919,M,56,73,83.2,148.4,17,65.2,30.35714286,78.36538462
A,920,M,50,65,56.7,121.1,15,64.4,30,113.5802469
B,921,M,57,70,92.4,129.5,13,37.1,22.80701754,40.15151515
A,923,M,53,67,66.3,122.6,14,56.3,26.41509434,84.91704374
B,924,M,52,65,63.4,112.4,13,49,25,77.28706625
A,925,M,55,68,83.4,157.6,13,74.2,23.63636364,88.96882494
C,927,M,58,71,76.2,131.3,13,55.1,22.4137931,72.30971129
C,928,M,58,77,94.5,174.3,19,79.8,32.75862069,84.44444444
A,930,M,47,63,47.2,85.3,16,38.1,34.04255319,80.72033898
C,931,M,45,59,41.7,87.6,14,45.9,31.11111111,110.0719424
A,933,M,55,71,94.9,146.6,16,51.7,29.09090909,54.47839831
C,934,M,61,80,102.5,202.5,19,100,31.14754098,97.56097561
C,936,M,44,56,41.5,65.3,12,23.8,27.27272727,57.34939759
A,937,M,45,56,45,78.6,11,33.6,24.44444444,74.66666667
B,938,M,60,77,103.9,201.8,17,97.9,28.33333333,94.22521655
A,940,M,51,65,62.3,118.4,14,56.1,27.45098039,90.04815409
C,943,M,53,68,71.1,128.9,15,57.8,28.30188679,81.29395218
B,944,M,54,72,80.8,160.7,18,79.9,33.33333333,98.88613861
C,945,M,60,70,78.1,135.1,10,57,16.66666667,72.98335467
C,948,M,50,69,73.9,118.2,19,44.3,38,59.9458728
B,949,M,60,80,106.9,211.4,20,104.5,33.33333333,97.75491113
