ttt,crabID,sex,cw_start,cw_end,mass_start,mass_end,cw_diff,mass_diff,cw_percent,mass_percent
B,403,F,59.6,79,100.2,182.9,19.4,82.7,32.55033557,82.53493014
A,407,F,58.3,70,102.3,139.3,11.7,37,20.06861063,36.16813294
B,412,M,63.7,74.1,118.7,178.3,10.4,59.6,16.32653061,50.210615
A,413,F,55.8,70.2,81.9,145.2,14.4,63.3,25.80645161,77.28937729
A,416,F,56,65.4,83.4,133.9,9.4,50.5,16.78571429,60.55155875
C,417,F,53.2,67.6,68,130.6,14.4,62.6,27.06766917,92.05882353
B,501,M,55.4,69,75.6,132.6,13.6,57,24.54873646,75.3968254
A,602,M,49.2,61.8,61.6,107.4,12.6,45.8,25.6097561,74.35064935
C,603,M,49.5,58,58.5,89.7,8.5,31.2,17.17171717,53.33333333
A,607,M,51.2,64.1,68.9,120.2,12.9,51.3,25.1953125,74.45573295
B,609,M,52.2,68.2,85.2,147,16,61.8,30.651341,72.53521127
A,611,M,52.9,67.4,62.5,95,14.5,32.5,27.41020794,52
B,614,M,53.7,69.6,80.9,141.2,15.9,60.3,29.60893855,74.53646477
C,503,M,50,60.8,53.5,83.7,10.8,30.2,21.6,56.44859813
A,623,M,54.3,64.9,80,123,10.6,43,19.52117864,53.75
B,624,M,54.7,68.8,79.6,117.4,14.1,37.8,25.77696527,47.48743719
A,625,M,54.7,64.7,67.1,108.1,10,41,18.28153565,61.10283159
B,627,M,55.2,66.9,78.6,130.1,11.7,51.5,21.19565217,65.5216285
C,628,M,55.3,70.8,78.3,150.7,15.5,72.4,28.02893309,92.46487867
B,629,M,55.7,71.6,88.8,158.6,15.9,69.8,28.54578097,78.6036036
B,631,M,58.2,70.8,77.4,130.1,12.6,52.7,21.64948454,68.0878553
A,633,M,59.3,77.9,81,189.1,18.6,108.1,31.36593592,133.4567901
C,635,M,58.2,73,87.3,168,14.8,80.7,25.42955326,92.43986254
A,702,M,48.7,59.9,55.6,89.6,11.2,34,22.99794661,61.15107914
A,703,M,42.8,54.3,38.6,67.6,11.5,29,26.86915888,75.12953368
A,704,M,48.6,62.4,48.3,87.1,13.8,38.8,28.39506173,80.33126294
B,706,M,55.8,71.5,87.9,163,15.7,75.1,28.13620072,85.43799772
C,707,M,46.4,56.7,48,77.7,10.3,29.7,22.19827586,61.875
C,709,M,47.2,62.9,46.1,97.3,15.7,51.2,33.26271186,111.0629067
C,710,M,49.3,60.3,53.4,94.1,11,40.7,22.31237323,76.21722846
B,711,M,55.5,75.8,78.7,162.4,20.3,83.7,36.57657658,106.3532402
B,713,M,49,59.7,59.1,86.7,10.7,27.6,21.83673469,46.70050761
B,714,M,52,65.9,59.5,107.8,13.9,48.3,26.73076923,81.17647059
A,715,M,54.9,66.3,NA,95.9,11.4,na,20.76502732,na
A,717,M,65.2,NA,104.9,NA,na,na,na,na
B,718,M,57.1,64.2,NA,110.3,7.1,na,12.43432574,na
C,719,M,54.7,65.9,71.6,111.4,11.2,39.8,20.47531993,55.58659218
B,801,M,51.3,62.8,65.6,109.9,11.5,44.3,22.417154,67.5304878
C,802,M,61.1,77.5,98.4,205.3,16.4,106.9,26.84124386,108.6382114
C,808,M,63,71.5,113.3,171.4,8.5,58.1,13.49206349,51.27978817
C,603,M,58,74.6,89.7,187.8,16.6,98.1,28.62068966,109.3645485
A,607,M,64.1,80.9,120.2,264.2,16.8,144,26.20904836,119.8003328
A,611,M,67.4,81.5,95,225.6,14.1,130.6,20.91988131,137.4736842
A,623,M,64.9,84,123,274.2,19.1,151.2,29.42989214,122.9268293
A,703,M,54.3,70.7,67.6,152.6,16.4,85,30.20257827,125.739645
C,709,M,62.9,80,97.3,205.3,17.1,108,27.18600954,110.9969168
A,716,M,65.9,NA,119.4,221.8,na,102.4,na,85.76214405
